	[C](normalized)	[CCML](normalized)	[Ca](normalized)	[CWP](normalized)	[N](normalized)	[NCML](normalized)
hsa_circ_0083861	2.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083855	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083757	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0083741	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0083722	0	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083704	2.321928095	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083625	2.321928095	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083619	3.584962501	2.985675859	2.133962904	0.487322856	0.658751561	2.070881559
hsa_circ_0083495	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0083468	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083465	2.321928095	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083455	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083443	0	4.123179383	0.549000403	0.487322856	0.658751561	2.807847153
hsa_circ_0083423	0	2.985675859	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083396	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083327	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083234	0	0.663747764	2.549000403	2.072285357	0.658751561	0.485919059
hsa_circ_0083228	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083220	0	0.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0083213	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083196	0	2.248710265	3.133962904	0.487322856	0.658751561	2.485919059
hsa_circ_0083182	0	2.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0083176	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0083172	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083127	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083125	0	2.985675859	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083092	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083055	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083012	0	2.985675859	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082951	1.584962501	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0082950	0	2.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0082713	0	0.663747764	2.870928498	0.487322856	0.658751561	0.485919059
hsa_circ_0082707	0	0.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0082689	0	3.248710265	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082688	2.807354922	2.663747764	1.549000403	0.487322856	0.658751561	0.485919059
